t,x_1,x_2,x_3,x_4,x_5,y_1,y_2
0.475,-0.0133301311460895,2.93607833387813,3.29281129002951,-7.57454088519514,20.4201957064701,0.349791816374566,-13.2859331080556
0.625,0.492918302793522,1.85765484765076,2.5619275384587,-5.24879711888186,-9.31968194688705,0.725940861089526,8.91966603266069
0.65,0.553885559056905,1.73387322922726,2.31701687485252,-4.66202675543983,-6.12825415099955,0.586299369047653,7.95732876274793
0.725,0.715592580325581,1.44160653853134,2.14642331575521,-3.14928319242281,12.4930898570792,0.268641724385567,8.40625293708951
1.35,-0.642020193405138,-0.295507723716278,-4.87428788802573,-3.47798167719448,12.0313069067111,-0.104794277247032,6.22261497000292
1.925,-1.22933730088621,-0.326664330195572,1.54850197116623,1.32274332941833,2.22180451052817,-0.0166714591813224,-1.00839055304865
2.25,-0.670211417571037,0.0051262411895931,1.72844265194219,0.747687256226752,-1.00694654288855,8.59720344807968e-05,-0.713710339054981
2.625,-0.13590015606083,0.167010342151874,1.03075665847428,0.136021916163174,-2.52691872158848,9.2015950361013e-05,-0.521995488849695
3.075,0.108404426236644,0.127294314148291,0.13369049865752,-0.222843565379718,-1.44870306091832,0.00018882416885746,-0.0502106007682852
3.6,0.0635590815174188,0.0175825079394656,-0.184592577902614,-0.148916856047613,-0.0079293422795912,1.16964479678593e-05,0.136341998638612
3.7,0.0452869682868419,0.00432998292281314,-0.178832088972153,-0.116431729208748,0.129353616338684,1.76095379958441e-06,0.132057579994507
4.05,-0.00460544950995551,-0.0183442726071377,-0.0969999302415733,-0.0202717167472442,0.300748473422243,-2.26132944813884e-07,0.0770643533092902
4.175,-0.0145491760403714,-0.0194188079678776,-0.0624685917480435,0.00190823659708035,0.280715016915095,-2.1207446909699e-09,0.0533431666573238
4.325,-0.0211049400577943,-0.0177137881875073,-0.0261362727911425,0.0192848112632062,0.2282499764581,-1.9761720967959e-07,0.027805134183198
4.475,-0.0228255153268472,-0.0140891179154836,0.00168503015170334,0.0278119611001843,0.162158481028183,-3.26921830773319e-07,0.00758365842755536
4.5,-0.0227369630017475,-0.0133859274677375,0.00540202979437608,0.0285065062915596,0.150864331846891,-3.26313966264591e-07,0.00480560363414941
4.575,-0.0219599539665246,-0.0112031436353133,0.0149727243486308,0.0295459563893154,0.117574640756372,-2.93387459923689e-07,-0.00249246746834856
4.6,-0.0215522528065949,-0.0104649121154647,0.0176463853821749,0.0295789442508019,0.106819105958921,-2.74668157287938e-07,-0.00458361121838006
4.775,-0.017249992849152,-0.00549339814017229,0.0297090001717633,0.0264654271804877,0.0396226362672299,-1.15428886893199e-07,-0.0147426475788193
4.9,-0.0133349247629282,-0.00246223557024359,0.0322374417194207,0.0218839526846221,0.00282772203522466,-3.53748637760428e-08,-0.0178066719926068
