t,x_1,x_2,x_3,x_4,x_5,y_1,y_2
0,0,3.14159265358979,0,0,-3.48072476209688,-3.48001284794623,6.94580389477875
0.025,-0.00108761527356429,3.14376566152906,-0.0870003211986557,0.173645097369469,-15.0871250876134,-15.0795020298616,30.011209347939
0.05,-0.00797571855048632,3.15750100758275,-0.463987871945196,0.923925331067943,-12.3737722699405,-12.3406858179131,24.0811398666452
0.075,-0.0234338052107191,3.1881608697051,-0.772505017393023,1.52595382773407,-16.765549591882,-16.6762541745848,31.9174135150412
0.1,-0.0479618123191468,3.23634694837511,-1.18941137175764,2.3238891656101,22.3539063184525,22.4553582029889,-46.9176760739125
0.125,-0.0706798843376221,3.27981473258478,-0.62802741668292,1.15094726376229,-20.7400301281027,-20.5172847329615,37.4714514587847
0.15,-0.0927970487070644,3.32036229123489,-1.14095953500696,2.08773355023191,49.999999992349,50.0104512696211,-101.924882639947
0.175,-0.105689789410467,3.34069844001502,0.109301746733571,-0.460388515766764,16.7588367682494,16.8888128866376,-36.8679464805223
0.2,-0.0976799142802459,3.31765279443855,0.531522068899511,-1.38208717777982,-27.7841861026338,-27.5467144457152,51.1474579432146
0.225,-0.0929975994057784,3.29905151198043,-0.157145792243369,-0.103400729199457,-8.68237713238449,-8.50924705349703,13.7283082882176
0.25,-0.0995855093501721,3.30075879943738,-0.369876968580795,0.239806978005984,-11.1682524379889,-10.9788643053233,18.4575616040903
0.275,-0.112264306459416,3.31253797435747,-0.644348576213878,0.701246018108242,2.12183757821588,2.2895826551274,-7.99706230965378
0.3,-0.127658084893267,3.32758563794573,-0.587109009835693,0.501319460366898,2.91264972698655,3.08597238825182,-9.78877071333427
0.325,-0.141371747444584,3.33706916676377,-0.509959700129397,0.256600192533541,7.10577674959899,7.26628523977437,-18.0883935917349
0.35,-0.15185003676392,3.33783222192463,-0.328302569135038,-0.195609647259831,10.5161086293524,10.6633052534715,-24.6666381901237
0.375,-0.156725277625692,3.32522357860328,-0.0617199377982506,-0.812275602012923,19.4475349397656,19.5700599524453,-41.8818896810937
0.4,-0.152153194712119,3.2918074402921,0.427531561012882,-1.85932284404026,34.5938343564348,34.7030926672098,-71.2364342483334
0.425,-0.130621242252952,3.22302452384515,1.29510887769313,-3.6402337002486,43.9799282313295,44.0178429334893,-88.4748446971943
0.45,-0.08447737087612,3.10424126689054,2.39555495103036,-5.85210481767846,36.3450311253777,35.890253559966,-68.8974427006673
0.475,-0.0133301311460895,2.93607833387813,3.29281129002951,-7.57454088519514,20.4201957064701,19.0098179815766,-30.3773177653412
0.5,0.0749905441979217,2.73679589476475,3.76805673956892,-8.33397382932867,4.5374137442599,2.40298328081556,5.33427808523285
0.525,0.169979161131935,2.52984051737348,3.82813132158931,-8.20061687719785,-6.96624592310491,-9.07476012438249,26.5151747846551
0.55,0.262845329026384,2.33308186645618,3.60126231847975,-7.53773750758147,-12.6495161920684,-14.232494396316,33.0372081463823
0.575,0.348406516004741,2.1550838123766,3.24544995857185,-6.71180730392191,-13.6320327259239,-14.6653548074085,31.3201697922878
0.6,0.424932870288029,1.9972352428649,2.87881608838664,-5.92880305911472,-12.0086150825384,-12.6755419971175,27.2002376093146
0.625,0.492918302793522,1.85765484765076,2.5619275384587,-5.24879711888186,-9.31968194688705,-9.79642654424712,23.4708145376811
0.65,0.553885559056905,1.73387322922726,2.31701687485252,-4.66202675543983,-6.12825415099955,-6.54768776175418,20.9015156423536
0.675,0.609748829514712,1.62392021446617,2.15332468080867,-4.13948886438099,-2.24824621245435,-2.73661990455308,19.6351770712178
0.7,0.662713196073271,1.52659645318582,2.08490918319484,-3.64860943760054,3.19563942820411,2.46056530241482,19.9730498071095
0.725,0.715592580325581,1.44160653853134,2.14642331575521,-3.14928319242281,12.4930898570792,11.1618778855291,23.0405299006717
0.75,0.772728914306487,1.37000051754155,2.42547026289344,-2.57326994490601,32.0154684981692,29.2290958640178,32.4112055593055
0.775,0.842485851500011,1.3156423555965,3.15619765949388,-1.76298980592338,37.1188629523675,34.1252482831411,37.316202377876
0.8,0.9320452870431,1.2831213216681,4.00932886657241,-0.830084746476476,-50,-45.6005745787515,-8.10013439686106
0.825,1.01803111343863,1.2599516274621,2.86931450210362,-1.032588106398,-49.9999999993196,-45.6659122010159,-10.5497238537738
0.85,1.07549747783695,1.23098270285071,1.72766669707823,-1.29633120274235,-49.9999999941352,-45.7628341688077,-13.6342427829181
0.875,1.10439437541246,1.19449387605262,0.583595842858033,-1.6371872723153,-49.9999999976358,-45.9081560144429,-17.5433383926581
0.9,1.1046471753873,1.1483107461347,-0.564108057503039,-2.07577073213175,-7.08493384756961,-6.35302228288858,12.1964320522014
0.925,1.08855614764068,1.10027513817541,-0.722933614575254,-1.77085993082672,-49.9999999800246,-46.2078824367275,-26.6621002094032
0.95,1.05605693885291,1.0479320272409,-1.87813067549344,-2.4374124360618,-5.70123730174949,-5.11687171859434,11.3360599564356
0.975,1.00750161857061,0.990592794823461,-2.0060524684583,-2.15401093715091,-31.8466807499494,-29.6242035852151,-17.7923206557086
1,0.948103547390099,0.931379171113834,-2.74665755808868,-2.59881895354362,-9.76384160190435,-8.98868572612114,4.17671135543825
1.025,0.876628533765302,0.867801406752202,-2.97137470124171,-2.49440116965767,-24.5930738684809,-23.1047749605559,-16.4693561190581
1.05,0.795134486102617,0.800475086807527,-3.5489940752556,-2.90613507263412,-10.4244179925626,-9.7600685991547,-0.517782035113292
1.075,0.703362309769919,0.72776855174677,-3.79299579023447,-2.91907962351195,-13.8361509075452,-13.1112483609427,-7.71696032824506
1.1,0.604446226516253,0.652514077518102,-4.12077699925804,-3.11200363171808,-12.466481312282,-11.9071544986457,-8.19431215205828
1.125,0.497711885085386,0.572287437414845,-4.41845586172418,-3.31686143551953,-10.7552916430155,-10.3566116851497,-7.94954883482356
1.15,0.384019594442481,0.487012877376785,-4.67737115385292,-3.51560015639012,-9.32435241301123,-9.05751840980546,-7.9719407698011
1.175,0.264259790660924,0.396760329186229,-4.90380911409806,-3.71489867563515,-7.77305576580406,-7.61543913992387,-7.58692507240992
1.2,0.139288745382033,0.301641584201661,-5.09419509259616,-3.9045718024454,-5.84400987275396,-5.76792866301545,-6.27179835614525
1.225,0.0101340960531792,0.202185865633618,-5.23839330917154,-4.06136676134903,-3.42561327157646,-3.39829614592574,-3.7646113053782
1.25,-0.121886318503532,0.0995870614292315,-5.32335071281969,-4.15548204398348,-0.483477908396524,-0.477757378885464,-0.0190034533634886
1.275,-0.255118743632601,-0.00419850900684047,-5.33529464729182,-4.15595713031757,2.86055497600289,2.85124552681449,4.60108673757919
1.3,-0.387609064535173,-0.106551466099158,-5.26401350912146,-4.04092996187809,6.30442731662779,6.25714460045501,9.3096250532731
1.325,-0.517251453866309,-0.204551542785777,-5.10758489411008,-3.80818933554626,9.4619278376348,9.33188024337415,13.2083063340715
1.35,-0.642020193405138,-0.295507723716278,-4.87428788802573,-3.47798167719448,12.0313069067111,11.7728776011965,15.7225505606289
1.375,-0.760191988238967,-0.377419770614626,-4.57996594799582,-3.08491791317875,13.9113491708297,13.4966747814343,16.8124675359556
1.4,-0.870466241683807,-0.449168018453545,-4.24254907845996,-2.66460622477987,15.1777387400477,14.6020333725137,16.821132143485
1.425,-0.971959751200985,-0.510415492093763,-3.87749824414712,-2.24407792119274,15.9731456566357,15.2496466973106,16.1770687049516
1.45,-1.06412534476363,-0.561365107165492,-3.49625707671435,-1.83965120356895,16.4231741090742,15.5755182431101,15.2121020919357
1.475,-1.14665913631979,-0.602521943491069,-3.1068691206366,-1.45934865127056,16.6156324852782,15.6717912152771,14.1349063066147
1.5,-1.21942931105316,-0.634524859269903,-2.71507434025467,-1.10597599360519,16.610232516719,15.5985984092644,13.066309832576
1.525,-1.28242862859576,-0.658044084541927,-2.32510938002306,-0.779318247790789,16.4492400154439,15.3964312820496,12.0725593924606
1.55,-1.33574304501955,-0.673723195017083,-1.94019859797182,-0.477504262979276,16.1631228041983,15.0929934712221,11.1855772632113
1.575,-1.37953044447317,-0.682148730591445,-1.56287376119127,-0.197864831398992,15.7727153218233,14.7061410265038,10.4138789864906
1.6,-1.41400642517694,-0.683837740865671,-1.19522023552868,0.0624821432632724,15.2890322602034,14.2441595330194,9.74694328021293
1.625,-1.43943613997381,-0.679238504927586,-0.839116247203193,0.306155725268596,14.711442321751,13.7041735774728,9.15465632804915
1.65,-1.45613260583692,-0.668743249160918,-0.496511907766372,0.535022133469824,14.0251327873718,13.0696420873124,8.58336639750408
1.675,-1.46446276440216,-0.652714277917531,-0.169770855583561,0.749606293407426,13.1999414131738,12.3089716848709,7.95174228676594
1.7,-1.46486251147914,-0.631526054743556,0.137953436538211,0.948399850576575,12.1946562439606,11.3792761769442,7.15342007672281
1.725,-1.45785995796497,-0.605623733346259,0.422435340961815,1.12723535249465,10.9723483525202,10.2408807237445,6.07763602755275
1.75,-1.44410122345449,-0.575590938728472,0.678457359055429,1.27917625318346,9.52938433830842,8.88557332356047,4.65713279012671
1.775,-1.42436541406395,-0.542205491737847,0.90059669214444,1.39560457293663,7.92917509679295,7.37040301774633,2.93442764360748
1.8,-1.3995494005466,-0.506447465507524,1.0848567675881,1.46896526402682,6.31496602714306,5.83196666523319,1.1035670409757
1.825,-1.37060735446759,-0.469425711534134,1.23065593421893,1.49655444005121,4.87346823913458,4.45255112324428,-0.532494666805468
1.85,-1.33845112080023,-0.432222840481598,1.34196971230004,1.48324207338107,3.75378485594133,3.38085145117332,-1.69952414723019
1.875,-1.303846758292,-0.395714767084703,1.42649099857937,1.44075396970032,2.99565084462338,2.65975193041906,-2.29613824436285
1.9,-1.26735461293748,-0.360452969744405,1.49298479683985,1.38335051359125,2.52607263323445,2.22068697305543,-2.42428736691655
1.925,-1.22933730088621,-0.326664330195572,1.54850197116623,1.32274332941833,2.22180451052817,1.94394460747866,-2.2902239594756
1.95,-1.19001853821024,-0.294347297981759,1.5971005863532,1.26548773043144,1.97815786754513,1.72670878945484,-2.07853593170654
