t,x_1,x_2,x_3,x_4,x_5,y_1,y_2
0,0,3.14159265358979,0,0,-3.4807390937937,-0.0870006656212389,0.173645540487754
0.025,-0.001087619728606,3.14376566956843,-0.0870006656212389,0.173645540487754,-15.0871081544152,-0.376986875559073,0.750276329494368
0.05,-0.00797572890930611,3.15750101150666,-0.463987541180312,0.923921869982122,-12.3743006770902,-0.308530231963451,0.602053028882024
0.075,-0.0234339768889089,3.18816110745518,-0.772517773143762,1.52597489886415,-16.7657130376881,-0.416910213865945,0.797939816761446
0.1,-0.0479623667365087,3.2363478194808,-1.18942798700971,2.32391471562559,22.3533304456977,0.561368859289032,-1.17290608768124
0.125,-0.0706810867594025,3.27981688234285,-0.628059127720676,1.15100862794436,-20.740026988298,-0.512931534355469,0.936778370246742
0.15,-0.0927990528358115,3.3203659420175,-1.14099066207614,2.0877869981911,49.9999999961571,1.25025333985786,-2.54804632608968
0.175,-0.105692763521348,3.34070487040613,0.10926267778172,-0.460259327898578,16.7578554777755,0.422195452590739,-0.921649083733304
0.2,-0.0976841604299683,3.31766299923304,0.531458130372459,-1.38190841163188,-27.7809360433341,-0.688585342546765,1.27850471196524
0.225,-0.0930024016012778,3.2990639551028,-0.157127212174307,-0.10340369966664,-8.68459465108498,-0.212786052625513,0.343308325720793
0.25,-0.0995905336364155,3.30077243854793,-0.36991326479982,0.239904626054153,-11.1665498025071,-0.274428608941478,0.461344732613322
0.275,-0.112269701610377,3.31255288116823,-0.644341873741298,0.701249358667475,2.12168334838938,0.0572360284714997,-0.199926258782888
0.3,-0.127663356354186,3.32760061113178,-0.587105845269798,0.501323099884587,2.9135353956742,0.0771716421290261,-0.244769498376745
0.325,-0.141376660461362,3.33708358765098,-0.509934203140772,0.256553601507842,7.10597397117268,0.181662182832652,-0.452224646490188
0.35,-0.151854248882272,3.3378452823781,-0.32827202030812,-0.195671044982347,10.5163726635032,0.266589233049549,-0.616682214935909
0.375,-0.156728639368181,3.32523487891854,-0.061682787258571,-0.812353259918256,19.4482218533812,0.489268168691061,-1.04707855681573
0.4,-0.152155391329624,3.29181626681784,0.42758538143249,-1.85943181673398,34.594725914147,0.867597017709602,-1.78093052592481
0.425,-0.130621685673408,3.22302953381436,1.29518239914209,-3.64036234265879,43.9788773035416,1.10041568834271,-2.21177258474931
0.45,-0.0844759509446368,3.10424216061753,2.39559808748481,-5.8521349274081,36.3436592808783,0.897223921291632,-1.72236149111236
0.475,-0.0133278790729568,2.93607861866143,3.29282200877644,-7.57449641852046,20.4207439255909,0.475261845501465,-0.759468226588227
0.5,0.0749930041414661,2.73679830319608,3.7680838542779,-8.33396464510869,4.53810533492373,0.0600906781641219,0.133331607918517
0.525,0.169982369145009,2.52984349644876,3.82817453244203,-8.20063303719017,-6.96664129456653,-0.226878735226535,0.662893396894249
0.55,0.262849584400857,2.33308409540697,3.60129579721549,-7.53773964029592,-12.650035391132,-0.35582377880245,0.825939665965464
0.575,0.348411550202922,2.15508565248524,3.24547201841304,-6.71179997433046,-13.6321268855336,-0.36663538901354,0.783001675136551
0.6,0.424938463520949,1.99723710774322,2.8788366293995,-5.92879829919391,-12.0085154789352,-0.316885972493732,0.680001972483747
0.625,0.492924440358342,1.85765679302789,2.56195065690577,-5.24879632671016,-9.3196195244671,-0.244909162252401,0.586768756300277
0.65,0.553892285832559,1.73387520075551,2.31704149465337,-4.66202757040989,-6.12829686725829,-0.163693167975101,0.522537733351006
0.675,0.609756154151322,1.62392216851878,2.15334832667827,-4.13948983705888,-2.24839034768681,-0.0684187942110603,0.490879223103461
0.7,0.662721070315444,1.52659836250232,2.08492953246721,-3.64861061395542,3.19540108189639,0.0615086944057333,0.499324794276729
0.725,0.715600903133336,1.44160838339999,2.14643822687294,-3.14928581967869,12.4927324254391,0.279038810882889,0.576008749549371
0.75,0.772737532265652,1.37000232039011,2.42547703775583,-2.57327707012932,32.0149072760033,0.73071475160647,0.810264665111567
0.775,0.842494549186269,1.31564440410732,3.1561917893623,-1.76301240501775,37.1214865875332,0.853191549060413,0.932922757784529
0.8,0.932054646492242,1.28312362436862,4.00938333842271,-0.830089647233224,-49.9999999999999,-1.14001427469249,-0.202493161807048
0.825,1.01804185340159,1.259954456097,2.86936906373022,-1.03258280904027,-49.9999999997921,-1.14164765488632,-0.263729810004479
0.85,1.0755096100828,1.23098647809128,1.7277214088439,-1.29631261904475,-49.9999999635023,-1.14407058705822,-0.340838175385419
0.875,1.10440791853887,1.19449915514493,0.583650821785685,-1.63715079443017,-49.9999998526794,-1.14770340881847,-0.438558893217996
0.9,1.104662158913,1.14831827730225,-0.564052587032786,-2.07570968764817,-4.15830397385103,-0.0910515994295699,0.363610486264883
0.925,1.0894187704518,1.10100436844963,-0.655104186462356,-1.71209920138328,-49.9999999987568,-1.15483167078103,-0.662847271628952
0.95,1.05861950456483,1.05017010009784,-1.80993585724339,-2.37494647301224,-7.04995318924445,-0.15914748004132,0.252174927412764
0.975,1.01137937861356,0.994007918396189,-1.9690833372847,-2.12277154559947,-34.7639916924766,-0.808756785032788,-0.517106339986301
1,0.95205510626021,0.934688150975852,-2.77784012231749,-2.63987788558577,-8.23285036270757,-0.188718219620677,0.150995605886999
1.025,0.880249583353737,0.870658135174038,-2.96655834193817,-2.48888227969877,-24.0664994345504,-0.564930163062638,-0.391187299875688
1.05,0.799034154810377,0.803723013573029,-3.53148850500081,-2.88006957957446,-10.8782224248817,-0.254670548800551,-0.0258600682535572
1.075,0.707566517438171,0.731508734426295,-3.78615905380136,-2.90592964782802,-14.2760536102438,-0.338211164048059,-0.205884783551873
1.1,0.608691247883912,0.656423534220035,-4.12437021784942,-3.11181443137989,-12.3953094078238,-0.295845311968589,-0.198938150645896
1.125,0.501889912120933,0.576275316979892,-4.42021552981801,-3.31075258202579,-10.8005162484182,-0.25990208047373,-0.197648551964334
1.15,0.388141303586568,0.49116735898826,-4.68011761029174,-3.50840113399012,-9.44889809941113,-0.229395794802522,-0.201933800121995
1.175,0.268275939520242,0.401062559531237,-4.90951340509426,-3.71033493411212,-7.90172656857864,-0.193494474099407,-0.192931907515404
1.2,0.143123507381652,0.306017939978706,-5.10300787919367,-3.90326684162752,-5.98595872046856,-0.147685490462929,-0.16114466088791
1.225,0.0137050162579856,0.206541253016044,-5.2506933696566,-4.06441150251543,-3.5849478393234,-0.0889177749775039,-0.0997448492826774
1.25,-0.118672366016883,0.103796646505946,-5.3396111446341,-4.16415635179811,-0.650081569813273,-0.0161012166975611,-0.00677447257515951
1.275,-0.25236328525108,-0.000284058817137649,-5.35571236133166,-4.17093082437327,2.70542133205082,0.0674295114509738,0.109178087380408
1.3,-0.385412268434679,-0.103084225369318,-5.28828284988069,-4.06175273699286,6.1824005543625,0.153448214450495,0.228548327340168
1.325,-0.515698741499456,-0.201657046011954,-5.13483463543019,-3.83320440965269,9.38805484796243,0.231561063918485,0.328359786218714
