p theta v omega u
0.005829 -0.028690 -0.050671 0.063192 0.227039
0.004625 -0.027141 -0.045679 0.060874 0.210324
0.003540 -0.025649 -0.041068 0.058547 0.194642
0.002567 -0.024215 -0.036813 0.056222 0.179938
0.001695 -0.022840 -0.032892 0.053913 0.166162
0.000918 -0.021521 -0.029281 0.051627 0.153263
0.000227 -0.020260 -0.025962 0.049373 0.141195
-0.000384 -0.019054 -0.022914 0.047158 0.129912
-0.000922 -0.017903 -0.020119 0.044988 0.119370
-0.001393 -0.016805 -0.017560 0.042867 0.109530
-0.001802 -0.015760 -0.015221 0.040801 0.100351
-0.002156 -0.014766 -0.013087 0.038791 0.091795
-0.002459 -0.013821 -0.011142 0.036841 0.083828
-0.002716 -0.012925 -0.009374 0.034952 0.076417
-0.002930 -0.012074 -0.007770 0.033126 0.069527
-0.003106 -0.011269 -0.006318 0.031364 0.063129
-0.003248 -0.010506 -0.005007 0.029667 0.057193
-0.003358 -0.009786 -0.003826 0.028034 0.051692
-0.003441 -0.009105 -0.002765 0.026465 0.046599
-0.003498 -0.008462 -0.001815 0.024961 0.041890
-0.003533 -0.007857 -0.000968 0.023519 0.037541
-0.003548 -0.007286 -0.000215 0.022140 0.033529
-0.003545 -0.006750 0.000451 0.020822 0.029834
-0.003526 -0.006245 0.001037 0.019564 0.026434
-0.003494 -0.005772 0.001551 0.018365 0.023311
-0.003450 -0.005327 0.001998 0.017223 0.020447
-0.003395 -0.004910 0.002383 0.016136 0.017823
-0.003331 -0.004520 0.002713 0.015104 0.015425
-0.003260 -0.004155 0.002993 0.014124 0.013237
-0.003182 -0.003814 0.003226 0.013195 0.011243
-0.003099 -0.003495 0.003417 0.012314 0.009431
-0.003012 -0.003198 0.003571 0.011481 0.007788
-0.002921 -0.002921 0.003691 0.010694 0.006300
-0.002828 -0.002663 0.003780 0.009949 0.004958
-0.002732 -0.002423 0.003842 0.009247 0.003750
-0.002636 -0.002201 0.003879 0.008585 0.002665
-0.002539 -0.001994 0.003894 0.007962 0.001695
-0.002441 -0.001802 0.003890 0.007375 0.000830
-0.002344 -0.001625 0.003869 0.006824 0.000062
-0.002248 -0.001461 0.003832 0.006306 -0.000616
-0.002153 -0.001309 0.003783 0.005820 -0.001213
-0.002059 -0.001170 0.003722 0.005364 -0.001734
-0.001967 -0.001041 0.003652 0.004937 -0.002187
-0.001877 -0.000923 0.003573 0.004538 
